time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-05T02:30:49.967Z,-23.8947,-66.9052,232.8,4.2,mb,,118,1.499,0.37,us,us7000frku,2021-11-05T03:05:13.040Z,"69 km WNW of San Antonio de los Cobres, Argentina",earthquake,12,13.6,0.235,6,reviewed,us,us
2021-11-05T02:19:27.830Z,19.2151666666667,-155.409166666667,32.7,2.8,ml,50,146,,0.12,hv,hv72783152,2021-11-05T03:06:31.610Z,"7 km E of P?hala, Hawaii",earthquake,0.41,0.51,0.267298371758833,34,reviewed,hv,hv
2021-11-05T01:48:31.990Z,28.8149,87.4331,10,5,mb,,133,5.097,1.04,us,us7000frkq,2021-11-05T06:35:09.861Z,"113 km NNE of Lobujya, Nepal",earthquake,10,1.8,0.055,108,reviewed,us,us
2021-11-05T01:42:18.610Z,17.9519,-66.9656,14,3.34,md,26,186,0.0806,0.15,pr,pr2021309000,2021-11-05T02:56:06.152Z,"6 km WSW of Guánica, Puerto Rico",earthquake,0.39,0.58,0.37,14,reviewed,pr,pr
2021-11-05T01:15:50.435Z,-23.1523,-178.8539,438.77,4.5,mb,,129,6.111,0.84,us,us7000frkj,2021-11-05T01:33:45.040Z,"south of the Fiji Islands",earthquake,12.4,9.6,0.15,15,reviewed,us,us
2021-11-05T00:55:25.199Z,36.36583333,-97.345,5.81,2.79,ml,92,36,0,0.25,ok,ok2021vquu,2021-11-05T13:01:54.653Z,"9 km NNW of Perry, Oklahoma",earthquake,,0.4,0.26,35,reviewed,ok,ok
2021-11-05T00:19:07.310Z,18.8563333333333,-155.506166666667,34.86,2.8,ml,50,267,,0.12,hv,hv72783102,2021-11-05T03:27:24.430Z,"24 km SSE of Naalehu, Hawaii",earthquake,0.47,0.83,0.16173184097016,17,reviewed,hv,hv
2021-11-04T23:39:17.970Z,54.5658,-156.7723,37.2,3.3,ml,,,,0.77,ak,ak021e5rg938,2021-11-05T06:04:17.041Z,"212 km SE of Perryville, Alaska",earthquake,,2.7,,,reviewed,ak,ak
2021-11-04T20:31:14.880Z,17.95,-66.9531,9,2.67,md,16,209,0.0932,0.1,pr,pr2021308004,2021-11-04T20:56:41.752Z,"5 km WSW of Guánica, Puerto Rico",earthquake,0.48,0.71,0.17,8,reviewed,pr,pr
2021-11-04T19:26:08.980Z,34.658,-94.3715,16.66,2.7,md,16,84,0.6653,0.3,nm,nm60137743,2021-11-05T15:19:49.414Z,"14 km WNW of Mena, Arkansas",earthquake,0.9,1.16,0.157,11,reviewed,nm,nm
2021-11-04T19:17:15.340Z,54.7128,-156.8912,0,3.9,ml,,,,0.86,ak,ak021e5oxsoi,2021-11-04T21:01:57.040Z,"195 km SE of Perryville, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-11-04T17:51:56.158Z,44.4865,-115.2189,10,2.6,ml,,43,0.819,0.45,us,us7000frgb,2021-11-04T20:07:03.430Z,"37 km NW of Stanley, Idaho",earthquake,3.2,2,0.047,60,reviewed,us,us
2021-11-04T16:36:53.368Z,-48.2606,165.2157,10,5.5,mww,,84,2.321,0.76,us,us7000frfx,2021-11-05T18:17:48.040Z,"298 km SW of Bluff, New Zealand",earthquake,5.3,1.7,0.093,11,reviewed,us,us
2021-11-04T16:25:05.135Z,-6.7899,147.626,46.39,5.2,mb,,25,4.722,0.65,us,us7000frfu,2021-11-05T02:06:22.384Z,"35 km SW of Finschhafen, Papua New Guinea",earthquake,7.5,3.1,0.043,179,reviewed,us,us
2021-11-04T15:46:38.965Z,19.0284,145.0334,564.21,5.3,mww,,18,8.446,0.73,us,us7000frem,2021-11-05T15:56:52.906Z,"Maug Islands region, Northern Mariana Islands",earthquake,9.2,5.5,0.098,10,reviewed,us,us
2021-11-04T15:46:19.885Z,19.0289,145.1219,534.46,4.4,mb,,42,8.471,0.88,us,us7000frfl,2021-11-04T16:31:06.040Z,"Maug Islands region, Northern Mariana Islands",earthquake,6.8,7,0.044,148,reviewed,us,us
2021-11-04T14:06:52.768Z,1.2543,126.4056,59.39,4.5,mb,,93,1.073,1.19,us,us7000fre5,2021-11-04T15:37:26.040Z,"120 km WNW of Ternate, Indonesia",earthquake,8.2,3.3,0.113,23,reviewed,us,us
2021-11-04T13:49:07.590Z,19.1653333333333,-155.477,35.35,2.57,md,52,97,,0.12,hv,hv72782637,2021-11-04T21:39:13.720Z,"4 km S of P?hala, Hawaii",earthquake,0.45,0.58,0.122733955480635,19,reviewed,hv,hv
2021-11-04T13:12:14.142Z,-34.8654,178.9862,246.77,4.4,mb,,188,2.746,1.12,us,us7000frds,2021-11-04T15:19:11.040Z,"south of the Kermadec Islands",earthquake,13.7,10.6,0.112,26,reviewed,us,us
2021-11-04T12:58:20.964Z,56.2732,-156.5376,41.5,3.1,ml,,,,0.46,ak,ak021e5l0kbg,2021-11-04T14:03:12.040Z,"115 km E of Chignik, Alaska",earthquake,,3.7,,,automatic,ak,ak
2021-11-04T09:45:40.820Z,24.2538,68.412,10,4.9,mb,,101,10.266,0.92,us,us7000frd2,2021-11-05T02:07:02.377Z,"18 km SE of Jati, Pakistan",earthquake,9.7,1.9,0.072,60,reviewed,us,us
2021-11-04T09:28:19.000Z,19.186,-155.473833333333,34.88,2.76,ml,53,88,,0.11,hv,hv72782422,2021-11-04T21:51:02.115Z,"1 km SSE of P?hala, Hawaii",earthquake,0.43,0.54,0.166701523745275,36,reviewed,hv,hv
2021-11-04T09:21:54.630Z,17.9546,-66.6993,7,2.72,md,10,224,0.1282,0.07,pr,pr2021308003,2021-11-04T10:39:58.115Z,"4 km SSE of Tallaboa, Puerto Rico",earthquake,0.43,0.24,0.05,5,reviewed,pr,pr
2021-11-04T08:57:06.817Z,52.7003,-167.9814,35.82,5.2,mww,,28,0.713,0.98,us,us7000frcu,2021-11-05T09:07:16.447Z,"65 km ESE of Nikolski, Alaska",earthquake,6.4,4.5,0.057,30,reviewed,us,us
2021-11-04T08:35:29.179Z,-12.2126,167.0594,218.37,4.9,mb,,43,3.218,0.67,us,us7000frct,2021-11-04T14:42:59.772Z,"191 km NNW of Sola, Vanuatu",earthquake,7.4,6.8,0.029,367,reviewed,us,us
2021-11-04T08:29:26.570Z,46.7673333333333,-122.100333333333,15.14,2.98,ml,61,76,0.1279,0.18,uw,uw61786052,2021-11-05T05:55:49.526Z,"5 km W of Ashford, Washington",earthquake,0.2,0.62,0.164738555492458,21,reviewed,uw,uw
2021-11-04T07:56:55.822Z,-6.8101,129.5299,129.93,4.5,mb,,71,4.719,0.54,us,us7000frcn,2021-11-04T08:26:12.040Z,"Banda Sea",earthquake,3.1,8.4,0.098,35,reviewed,us,us
2021-11-04T06:51:41.286Z,56.2005,-156.767,44.5,3.5,ml,,,,0.53,ak,ak021e5heifi,2021-11-04T07:16:26.040Z,"102 km E of Chignik, Alaska",earthquake,,2.5,,,automatic,ak,ak
2021-11-04T06:27:41.960Z,59.7501,-153.5035,113.9,2.9,ml,,,,0.69,ak,ak021e5h9d9e,2021-11-04T06:55:36.040Z,"34 km E of Pedro Bay, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-11-04T06:08:59.963Z,44.2855,-115.157,10,2.6,ml,,82,0.9,0.8,us,us7000frc1,2021-11-04T14:34:14.250Z,"19 km WNW of Stanley, Idaho",earthquake,2.4,2,0.057,40,reviewed,us,us
2021-11-04T04:18:23.207Z,-30.3338,-71.308,51.56,4.8,mwr,,83,0.418,0.83,us,us7000frbf,2021-11-05T15:55:46.984Z,"31 km NNW of Ovalle, Chile",earthquake,4.9,4,0.038,67,reviewed,us,us
2021-11-04T03:27:47.450Z,17.9316,-67.0203,10,2.69,md,14,238,0.0448,0.14,pr,pr2021308001,2021-11-04T03:57:02.375Z,"5 km SSE of La Parguera, Puerto Rico",earthquake,0.72,0.44,0.54,4,reviewed,pr,pr
2021-11-04T03:24:18.336Z,-22.3775,-66.2567,275.6,4,mb,,84,1.865,0.61,us,us7000fraz,2021-11-05T04:08:21.040Z,"68 km WNW of Abra Pampa, Argentina",earthquake,7.4,10.1,0.232,5,reviewed,us,us
2021-11-04T03:23:48.925Z,-22.4706,-179.4689,568.68,4.4,mb,,123,5.246,0.64,us,us7000frbb,2021-11-05T03:51:25.040Z,"south of the Fiji Islands",earthquake,10.1,8.4,0.087,38,reviewed,us,us
2021-11-04T02:43:08.238Z,61.1982,-150.0777,44.2,2.7,ml,,,,0.81,ak,ak021e5eyzp3,2021-11-05T03:39:57.040Z,"9 km WSW of Anchorage, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-11-04T02:42:44.037Z,-2.9492,129.3383,18,5.7,mwb,,21,2.907,0.78,us,us7000fraj,2021-11-05T03:56:12.361Z,"63 km NE of Amahai, Indonesia",earthquake,6.4,1.7,0.032,96,reviewed,us,us
2021-11-04T01:14:22.584Z,-21.0877,-66.7379,253.29,4.2,mb,,78,2.45,0.4,us,us7000frad,2021-11-05T02:43:09.040Z,"56 km WSW of Atocha, Bolivia",earthquake,10.9,12.4,0.263,4,reviewed,us,us
2021-11-04T01:08:41.113Z,44.4669,-115.2508,10,3.3,ml,,56,0.818,0.95,us,us7000frac,2021-11-05T02:25:34.134Z,"37 km NW of Stanley, Idaho",earthquake,2.4,2,0.031,133,reviewed,us,us
2021-11-04T00:24:34.080Z,39.8938333,-123.4245,7.43,4.08,mw,40,60,0.03744,0.18,nc,nc73648540,2021-11-05T03:24:02.879Z,"19km NW of Covelo, CA",earthquake,0.21,0.36,,3,reviewed,nc,nc
2021-11-03T22:49:40.675Z,29.7451,-113.8536,10,4.3,mb,,203,1.549,0.93,us,us7000fr9f,2021-11-03T23:15:30.040Z,"113 km W of La Libertad, Mexico",earthquake,3.2,2,0.201,7,reviewed,us,us
2021-11-03T21:12:35.099Z,38.6637,-97.4746,1.19,2.9,mb_lg,,74,0.729,0.4,us,us7000fr8j,2021-11-04T03:15:08.722Z,"6 km SW of Gypsum, Kansas",earthquake,1.1,6.1,0.054,88,reviewed,us,us
2021-11-03T20:25:34.800Z,38.1213,-118.041,3.3,2.8,ml,28,51.12,0.04,0.1136,nn,nn00827375,2021-11-04T02:37:24.089Z,"",earthquake,,0.9,0.36,13,reviewed,nn,nn
2021-11-03T19:55:51.530Z,18.0128,-66.726,14,2.82,md,21,139,0.1235,0.16,pr,pr2021307003,2021-11-03T22:47:58.582Z,"2 km NNW of Tallaboa, Puerto Rico",earthquake,0.31,0.51,0.14,12,reviewed,pr,pr
2021-11-03T17:47:28.646Z,-24.8823,179.7832,517.35,4.4,mb,,110,4.818,1.14,us,us7000fr76,2021-11-03T18:14:02.040Z,"south of the Fiji Islands",earthquake,13.5,8.1,0.149,13,reviewed,us,us
2021-11-03T16:10:38.716Z,29.9614,-113.6855,10,4.5,mb,,112,1.47,0.77,us,us7000fr5l,2021-11-03T23:18:03.149Z,"96 km W of La Libertad, Mexico",earthquake,10.4,1.9,0.113,23,reviewed,us,us
2021-11-03T15:50:24.790Z,31.03909787,-103.3145455,5.797363281,2.5,ml,14,86,0.1014052221,0.4,tx,tx2021vohi,2021-11-03T20:44:16.040Z,"32 km SW of Coyanosa, Texas",earthquake,2.221236281,2.282965053,0.2,11,reviewed,tx,tx
2021-11-03T15:11:25.160Z,19.4786666666667,-155.700166666667,6.98,2.6,ml,51,84,,0.18,hv,hv72781502,2021-11-04T23:10:19.040Z,"17 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.28,0.37,0.190629933262954,28,reviewed,hv,hv
2021-11-03T15:09:45.294Z,35.4853,23.0381,35,4.3,mb,,227,1.525,0.68,us,us7000fr53,2021-11-03T16:12:23.040Z,"55 km W of Kíssamos, Greece",earthquake,8.5,2,0.142,16,reviewed,us,us
